DATE,Utah.Min.Wage
1/1/68,1.15
1/1/69,1.15
1/1/70,1.15
1/1/71,1.15
1/1/72,1.35
1/1/73,1.35
1/1/74,1.35
1/1/75,1.35
1/1/76,1.7
1/1/77,1.7
1/1/78,1.7
1/1/79,2.45
1/1/80,2.6
1/1/81,2.75
1/1/82,2.75
1/1/83,2.75
1/1/84,2.75
1/1/85,2.75
1/1/86,2.75
1/1/87,2.75
1/1/88,2.75
1/1/89,2.75
1/1/90,2.75
1/1/91,3.8
1/1/92,4.25
1/1/93,4.25
1/1/94,4.25
1/1/95,4.25
1/1/96,4.25
1/1/97,4.75
1/1/98,5.15
1/1/99,5.15
1/1/00,5.15
1/1/01,5.15
1/1/02,5.15
1/1/03,5.15
1/1/04,5.15
1/1/05,5.15
1/1/06,5.15
1/1/07,5.15
1/1/08,5.85
1/1/09,6.55
1/1/10,7.25
1/1/11,7.25
1/1/12,7.25
1/1/13,7.25
1/1/14,7.25
1/1/15,7.25
1/1/16,7.25
1/1/17,7.25
1/1/18,7.25
1/1/19,7.25
